"시점",국립중앙박물관,국립중앙박물관,국립중앙박물관,국립중앙박물관,서대문형무소역사관,서대문형무소역사관,서대문형무소역사관,서대문형무소역사관,서울시립미술관 본관,서울시립미술관 본관,서울시립미술관 본관,서울시립미술관 본관,남산한옥마을,남산한옥마을,남산한옥마을,남산한옥마을,서울대공원,서울대공원,서울대공원,서울대공원
"시점",일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인
"2013",8360,3051441,2904439,147002,1636,597311,546496,50815,4324,1578283,1512624,65659,6157,2247338,1753138,494200,10170,3712081,3673510,38571
"2014",9673,3530781,3409679,121102,1776,648234,584941,63293,1953,712826,681087,31739,5114,1866445,1343988,522457,8670,3164537,3121545,42992
"2015",8440,3080577,2951132,129445,1657,604721,546316,58405,2052,749068,721542,27526,3724,1359357,982938,376419,12894,4706180,4669049,37131
"2016",9279,3396259,3212410,183849,1808,661836,602750,59086,2964,1084694,1049865,34829,3505,1282840,886374,396466,7267,2659798,2624151,35647
"2017",9525,3476606,3365004,111602,1912,697980,643931,54049,3795,1385209,1344210,40999,3189,1163995,1020447,143548,6058,2210993,2184469,26524
"2018",9053,3304453,3178236,126217,1858,678033,665698,12335,3751,1369149,1334740,34409,3923,1431737,1268339,163398,5917,2159578,2142108,17470
"2019",9189,3354089,3215625,138464,2750,1003689,968375,35314,5064,1848203,1804192,44011,4053,1479195,1319992,159203,5266,1922043,1905749,16294
"2020",4749,1738008,1713410,24598,155,56563,54035,2528,898,328569,322177,6392,2168,793341,777446,15895,3324,1216510,1212926,3584
"2021",3488,1273173,1259054,14119,247,90316,88865,1451,1746,637417,621694,15723,2194,800685,796688,3997,3779,1379503,1376196,3307
"2022",9311,3398658,3328379,70279,857,312907,305711,7196,6718,2452057,2452057,-,2544,928726,928726,-,4256,1553550,1549644,3906
